status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,4.0,2.0,0.89,Aguadilla,Puerto Rico,603.0,1408.0,unregistered,99000.0
for_sale,3.0,2.0,0.11,Aguadilla,Puerto Rico,603.0,1116.0,unregistered,140000.0
for_sale,4.0,3.0,0.26,Aguadilla,Puerto Rico,603.0,3734.0,unregistered,499000.0
for_sale,3.0,2.0,0.17,Aguadilla,Puerto Rico,603.0,1500.0,unregistered,180000.0
for_sale,4.0,2.0,0.12,Aguadilla,Puerto Rico,603.0,1760.0,unregistered,260000.0
for_sale,3.0,2.0,0.13,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,31179.0
for_sale,4.0,3.0,0.33,Aguadilla,Puerto Rico,603.0,2950.0,unregistered,500000.0
for_sale,3.0,2.0,0.21,Aguada,Puerto Rico,603.0,1565.0,unregistered,225000.0
for_sale,3.0,2.0,0.25,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,28000.0
for_sale,4.0,2.0,0.95,Aguadilla,Puerto Rico,603.0,3468.0,unregistered,425000.0
for_sale,4.0,2.0,10.76,Aguadilla,Puerto Rico,603.0,547.0,unregistered,300000.0
for_sale,3.0,2.0,0.19,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,75000.0
for_sale,3.0,2.0,0.15,Aguadilla,Puerto Rico,603.0,2280.0,unregistered,290000.0
for_sale,3.0,4.0,0.2,Aguadilla,Puerto Rico,603.0,4020.0,unregistered,550000.0
for_sale,3.0,2.0,0.18,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,44720.0
for_sale,3.0,2.0,0.4,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,35000.0
for_sale,3.0,2.0,0.4,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,75000.0
for_sale,3.0,2.0,0.42,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,37000.0
for_sale,3.0,2.0,0.22,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,37359.0
for_sale,3.0,2.0,2.43,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,739500.0
for_sale,3.0,2.0,0.28,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,65000.0
for_sale,3.0,2.0,0.33,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,56406.0
for_sale,5.0,3.0,0.52,Aguadilla,Puerto Rico,603.0,3267.0,unregistered,620000.0
for_sale,3.0,2.0,0.26,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,44995.0
for_sale,3.0,2.0,0.22,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,37779.0
for_sale,3.0,2.0,0.35,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,60123.0
for_sale,3.0,2.0,0.23,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,38279.0
for_sale,3.0,2.0,11.0,Aguada,Puerto Rico,603.0,2330.908640102678,unregistered,199900.0
for_sale,3.0,2.0,0.22,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,125000.0
for_sale,3.0,2.0,0.49,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,200000.0
for_sale,3.0,2.0,0.2,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,150000.0
for_sale,3.0,2.0,5.0,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,1000000.0
for_sale,3.0,2.0,1.89,Aguadilla,Puerto Rico,603.0,2330.908640102678,unregistered,695000.0
for_sale,5.0,2.0,4.55,Maricao,Puerto Rico,606.0,2156.0,unregistered,98000.0
for_sale,5.0,2.0,5.14,Maricao,Puerto Rico,606.0,2156.0,unregistered,55000.0
for_sale,5.0,2.0,4.86,Maricao,Puerto Rico,606.0,1563.0,unregistered,75000.0
for_sale,3.0,1.0,0.35,Maricao,Puerto Rico,606.0,915.0,unregistered,80000.0
for_sale,3.0,2.0,12.25,Maricao,Puerto Rico,606.0,2330.908640102678,unregistered,160000.0
for_sale,2.0,2.0,0.15,Guanica,Puerto Rico,653.0,1393.0,unregistered,95000.0
